01DB METRAVIB|700258
100FIO NETWORKS TECHNOLOGY LLC|C49313
10NET COMMUNICATIONS DCA|080024
11WAVE TECHNONLOGY CO LTD|000B10
12SIDED TECHNOLOGY LLC|A85EE4
1394 PRINTER WORKING GROUP|005029
1394 TRADE ASSOCIATION|00A02D
16063|001974
1MORE|1895526CCE4478A7EB9C9789
1NET CORPORATION|003070
1VERGE INTERNET TECHNOLOGY BEIJING CO LTD|54369B
2 SAVE ENERGY LTD|443719
2001 TECHNOLOGY INC|0011B2
21168|0025C3
2276427 ONTARIO INC|EC9681
27M TECHNOLOGIES AB|001387
29530|000761
2BPS|148919
2C TRIFONOV CO|28F358
2CRSI|3C3F51
2EI|0016A9
2GIG TECHNOLOGIES|B8B7D7
2M ELECTRONIC A S|001B8A
2M2B MONTADORA DE MAQUINAS BAHIA BRASIL LTDA|001929
2N TELEKOMUNIKACE A S|7C1EB3
2WCOM SYSTEMS GMBH|001199
2WIRE INC|000D7200128800149500183F0019E4001AC4001B5B001D5A001EC7001FB300217C0022A400235100245600253C00265000D09E14EDBB28162E34EF44383BC83CEA4F60C39760FE20640F28749DDC94C150982CBEB0E754B8E625C0830ADC7FA4F81897F82C18
2XWIRELESS|000FA2
3 GREENS AVIATION LIMITED|0022F0
3 PHOENIX INC|001840
30805|001C6C
34ED LLC DBA CENTEGIX|385319
360 AI TECHNOLOGY CO LTD|B4EF1C
360 FLY INC|E4BAD9
360 SYSTEMS|000556
360SUN DIGITAL BROADBAND CORPORATION|000E60
3ALITY DIGITAL SYSTEMS GMBH|B06CBF
3ALOGICS|2C029F
3B SYSTEM INC|000F05
3BUMEN COM|1C7E51
3COM|00010200010300029C00047500047600068C000A5E00104B00105A0020AF0026540050040050DA00600800608C00609700A02400D0D802608C02C08C
3COM EUROPE LTD|00040B00051A001EC100225700247300301E00509900900400D09608004E20FDF14001C6
3COM LTD|000A04000BAC000D54000E6A000FCB0012A900147C0016E000186E001AC1001CC5
3CX|00603D
3D DISPLAY TECHNOLOGIES CO LTD|BC25F0
3D IMAGING SIMULATIONS CORP|8C4B59
3D SYSTEMS MASSACHUSETTS|C0A364
3DSP CORP|0021C5
3E TECHNOLOGIES INT INC|0007D5
3H TECHNOLOGY|00A0B5
3ISYSNETWORKS|CCF538
3J TECH CO LTD|0009B5
3LEAF NETWORKS|0016A1
3M COMPANY|080021
3M DEUTSCHLAND GMBH|000649
3M GERMANY|0015C2
3NOD MULTIMEDIA SHENZHEN CO LTD|3863F6
3ONEDATA TECHNOLOGY CO LTD|00226F
3PAR DATA|0002AC
3PLEPLAY ELECTRONICS PRIVATE LIMITED|5C56ED
3S SYSTEM TECHNOLOGY INC|A8556A
3SOFT INC|0017A1
3UP SYSTEMS|0008DE
